ag,capacity,date,geoGrp,latitude,longitude,lunchDur,lunchEnd,lunchStart,scheduleEnd,scheduleStart,technicianId,timeZone
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_ALSIP_BEVERLY_T,41.367537,-88.818057,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:00:00.000Z,ST1615,CENTRAL
IL_SOUTHERN_RURAL_T,450.0,2019-06-07,TFS_IL_ORLAND_T,41.586862,-87.849049,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:30:00.000Z,RP2126,CENTRAL
IL_SOUTHERN_RURAL_T,450.0,2019-06-07,TFS_IL_ORLAND_T,41.586862,-87.849049,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:30:00.000Z,FC5352,CENTRAL
IL_SOUTHERN_RURAL_T,450.0,2019-06-07,TFS_IL_ORLAND_T,41.586862,-87.849049,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:30:00.000Z,WC2348,CENTRAL
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_CHICAGO_RIDGE_T,41.708611,-87.777193,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:00:00.000Z,TW7494,CENTRAL
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_CHICAGO_RIDGE_T,41.708611,-87.777193,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:00:00.000Z,RJ2729,CENTRAL
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_CHICAGO_HGTS_T,41.49882,-87.645138,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:00:00.000Z,BB3615,CENTRAL
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_CHICAGO_HGTS_T,41.49882,-87.645138,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:00:00.000Z,TW7851,CENTRAL
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_PROSPECT_T,41.778782,-87.713469,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:00:00.000Z,RR6951,CENTRAL
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_CHICAGO_HGTS_T,41.49882,-87.645138,30,2019-06-07T19:30:00.000Z,2019-06-07T17:30:00.000Z,2019-06-08T00:00:00.000Z,2019-06-07T14:30:00.000Z,EM2312,CENTRAL
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_PROSPECT_T,41.778782,-87.713469,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:00:00.000Z,TJ1979,CENTRAL
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_CHICAGO_HGTS_T,41.49882,-87.645138,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:00:00.000Z,EC1757,CENTRAL
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_CHICAGO_HGTS_T,41.49882,-87.645138,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:00:00.000Z,CH7154,CENTRAL
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_CHICAGO_HGTS_T,41.49882,-87.645138,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:00:00.000Z,RX2124,CENTRAL
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_CHICAGO_HGTS_T,41.49882,-87.645138,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:00:00.000Z,JN1693,CENTRAL
IL_SOUTHERN_RURAL_T,510.0,2019-06-07,TFS_IL_CHICAGO_HGTS_T,41.49882,-87.645138,30,2019-06-07T18:00:00.000Z,2019-06-07T16:00:00.000Z,2019-06-07T22:30:00.000Z,2019-06-07T13:00:00.000Z,SS5349,CENTRAL
